MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO
242070100,2025-09-09,12:11:14,Port D Al Hoceima
224704000,2025-09-09,12:11:14,Tanger
210836000,2025-09-09,12:11:14,Tanger
242894300,2025-09-09,12:11:14,Tanger
228135520,2025-09-09,12:11:14,Tanger
232051047,2025-09-09,12:11:14,Tanger
503107370,2025-09-09,12:11:14,Tanger
242132100,2025-09-09,12:11:14,Tanger
2422100,2025-09-09,12:11:14,Tanger
242005100,2025-09-09,12:11:14,Tanger
242049100,2025-09-09,12:11:14,Tanger
242015400,2025-09-09,12:11:14,Tanger
269114350,2025-09-09,12:11:14,Tanger
263673780,2025-09-09,12:11:14,Tanger
227328400,2025-09-09,12:11:14,Tanger
235005263,2025-09-09,12:11:14,Tanger
227193740,2025-09-09,12:11:14,Tanger
244667201,2025-09-09,12:11:14,Tanger
316009361,2025-09-09,12:11:14,Tanger
512010784,2025-09-09,12:11:14,Tanger
242534400,2025-09-09,12:11:14,Tanger Med 
242830300,2025-09-09,12:11:14,Tanger Med 
242386400,2025-09-09,12:11:14,Tanger Med 
242354400,2025-09-09,12:11:14,Tanger Med 
242903000,2025-09-09,12:11:14,Tanger Med 
255915654,2025-09-09,12:11:14,Tanger Med 
242904000,2025-09-09,12:11:14,Tanger Med 
242533400,2025-09-09,12:11:14,Tanger Med 
477714300,2025-09-09,12:11:14,Tanger Med 
209819000,2025-09-09,12:11:14,Tanger Med 
242905000,2025-09-09,12:11:14,Tanger Med 
636019574,2025-09-09,12:11:14,Tanger Med 
229282000,2025-09-09,12:11:14,Tanger Med 
215761000,2025-09-09,12:11:14,Tanger Med 
242402400,2025-09-09,12:11:14,Tanger Med 
636014359,2025-09-09,12:11:14,Tanger Med 
636019030,2025-09-09,12:11:14,Tanger Med 
242906000,2025-09-09,12:11:14,Tanger Med 
314001014,2025-09-09,12:11:14,Tanger Med 
242562300,2025-09-09,12:11:14,Tanger Med 
538006688,2025-09-09,12:11:14,Agadir
352001503,2025-09-09,12:11:14,Agadir
242531300,2025-09-09,12:11:14,Agadir
538006810,2025-09-09,12:11:14,Agadir
242840300,2025-09-09,12:11:14,Agadir
256422000,2025-09-09,12:11:14,Agadir
242562000,2025-09-09,12:11:14,Agadir
636022085,2025-09-09,12:11:14,Agadir
242017400,2025-09-09,12:11:14,Agadir
242000000,2025-09-09,12:11:14,Agadir
242907000,2025-09-09,12:11:14,Agadir
242958300,2025-09-09,12:11:14,Agadir
242111400,2025-09-09,12:11:14,Agadir
242449400,2025-09-09,12:11:14,Agadir
209649000,2025-09-09,12:11:14,Tanger Med
242127100,2025-09-09,12:11:14,Tanger Med
242228000,2025-09-09,12:11:14,Tanger Med
353468000,2025-09-09,12:11:14,Tanger Med
242087000,2025-09-09,12:11:14,Kenitra
256654000,2025-09-09,12:11:14,Safi
636022285,2025-09-09,12:11:14,Safi
636018663,2025-09-09,12:11:14,Safi
538010620,2025-09-09,12:11:14,Safi
636019704,2025-09-09,12:11:14,Safi
992420013,2025-09-09,12:11:14,Safi
247163100,2025-09-09,12:11:14,Nador
242530300,2025-09-09,12:11:14,Nador
242191400,2025-09-09,12:11:14,Nador
242111111,2025-09-09,12:11:14,Nador
245392000,2025-09-09,12:11:14,Nador
565613000,2025-09-09,12:11:14,Nador
232006578,2025-09-09,12:11:14,Nador
538004922,2025-09-09,12:11:14,Nador
242709200,2025-09-09,12:11:14,Nador
636025278,2025-09-09,12:11:14,Nouakchott
538010480,2025-09-09,12:11:14,Nouakchott
654099000,2025-09-09,12:11:14,Nouakchott
256179000,2025-09-09,12:11:14,Nouakchott
412371233,2025-09-09,12:11:14,Nouadhibou
375758000,2025-09-09,12:11:14,Nouadhibou
376487000,2025-09-09,12:11:14,Nouadhibou
375865000,2025-09-09,12:11:14,Nouadhibou
370393000,2025-09-09,12:11:14,Nouadhibou
325128700,2025-09-09,12:11:14,Nouadhibou
271069004,2025-09-09,12:11:14,Nouadhibou
271073392,2025-09-09,12:11:14,Nouadhibou
654045600,2025-09-09,12:11:14,Nouadhibou
271062115,2025-09-09,12:11:14,Nouadhibou
271074014,2025-09-09,12:11:14,Nouadhibou
271073280,2025-09-09,12:11:14,Nouadhibou
271072122,2025-09-09,12:11:14,Nouadhibou
271073599,2025-09-09,12:11:14,Nouadhibou
215665000,2025-09-09,12:11:14,Dakar
314977000,2025-09-09,12:11:14,Dakar
663172000,2025-09-09,12:11:14,Dakar
663218000,2025-09-09,12:11:14,Dakar
357380000,2025-09-09,12:11:14,Dakar
375526000,2025-09-09,12:11:14,Dakar
255805849,2025-09-09,12:11:14,Dakar
228098900,2025-09-09,12:11:14,Dakar
224282000,2025-09-09,12:11:14,Dakar
663036000,2025-09-09,12:11:14,Dakar
663180000,2025-09-09,12:11:14,Dakar
209109000,2025-09-09,12:11:14,Dakar
671514100,2025-09-09,12:11:14,Dakar
663169000,2025-09-09,12:11:14,Dakar
538008717,2025-09-09,12:11:14,Dakar
663167000,2025-09-09,12:11:14,Dakar
359102000,2025-09-09,12:11:14,Dakar
663250000,2025-09-09,12:11:14,Dakar
413471050,2025-09-09,12:11:14,Dakar
255916102,2025-09-09,12:11:14,Dakar
477859500,2025-09-09,12:11:14,Dakar
341925001,2025-09-09,12:11:14,Dakar
572741220,2025-09-09,12:11:14,Dakar
311000644,2025-09-09,12:11:14,Dakar
219028421,2025-09-09,12:11:14,Dakar
663222000,2025-09-09,12:11:14,Dakar
412440796,2025-09-09,12:11:14,Dakar
314530000,2025-09-09,12:11:14,Dakar
416004904,2025-09-09,12:11:14,Dakar
663147000,2025-09-09,12:11:14,Dakar
629009092,2025-09-09,12:11:14,Dakar
255915831,2025-09-09,12:11:14,Dakar
538009291,2025-09-09,12:11:14,Dakar
416379000,2025-09-09,12:11:14,Dakar
376493000,2025-09-09,12:11:14,Dakar
311000778,2025-09-09,12:11:14,Dakar
663039000,2025-09-09,12:11:14,Dakar
373534000,2025-09-09,12:11:14,Dakar
663096000,2025-09-09,12:11:14,Dakar
663226000,2025-09-09,12:11:14,Dakar
225987981,2025-09-09,12:11:14,Dakar
663342000,2025-09-09,12:11:14,Dakar
352980817,2025-09-09,12:11:14,Dakar
